Data;Program
8280005;United Kingdom (Scotland): Broad general education and studying directly for some qualif
8280006;United Kingdom (Scotland): Broad general ed./not studying directly for any of these qual
8280007;United Kingdom (Scotland): Broad general ed./not studying directly for any of these qual
8280099;United Kingdom (Scotland): Missing
8400001;United States: Grades 7-9
8400002;United States: Grades 10-12
8400099;United States: Missing
8580001;Uruguay: Lower Secondary
8580002;Uruguay: Lower Secondary with a technological component
8580003;Uruguay: Lower Secondary with a technological component in rural schools
8580004;Uruguay: Lower secondary in Rural Primary Schools
8580005;Uruguay: Lower Secondary with a very important technological component
8580006;Uruguay: Vocational lower secondary
8580007;Uruguay: General upper secondary
8580008;Uruguay: Technical upper secondary
8580009;Uruguay: Technical upper secondary (Artistic Baccalaureate)
8580010;Uruguay: Vocational upper secondary with a professional component.
8580011;Uruguay: Vocational upper secondary (Proficiency  baccalaureate)
8580012;Uruguay: Technical upper secondary (Beauty or Textil and  Clothing)
8580013;Uruguay: Military School
8580099;Uruguay: Missing
